num_processes,execution_time
1,2.3152287006378174
2,1.772761583328247
3,1.3051042556762695
4,1.5316264629364014
5,1.2309815883636475
6,1.3708388805389404
7,1.5972912311553955
8,1.6372177600860596
9,1.684145450592041
10,1.7264585494995117
